model	fcst_var	fcst_lead	count	pody	far	csi	fbias	gss
RRFS_mem000	APCP_01	010000	31	0.5330616129032258	0.401096129032258	0.39076064516129033	0.9024896774193548	0.3484216129032258
RRFS_mem000	APCP_01	020000	32	0.487184375	0.44865031250000004	0.34724781250000003	0.900955625	0.30374093750000003
RRFS_mem000	APCP_01	030000	32	0.4791153125	0.454848125	0.3420240625	0.8906375000000001	0.29895906250000004
RRFS_mem000	APCP_01	040000	32	0.47804156249999996	0.445785	0.34537593749999995	0.8680378125	0.30298812500000005
RRFS_mem000	APCP_01	050000	32	0.4680284375	0.43810218749999996	0.3428328125	0.8385556249999999	0.300428125
RRFS_mem000	APCP_01	060000	32	0.45106062500000005	0.435474375	0.3344753125	0.8044996875	0.290546875
RRFS_mem000	APCP_01	070000	32	0.4203728125	0.4327921875	0.3176771875	0.7442509374999999	0.269154375
RRFS_mem000	APCP_01	080000	32	0.4222884375	0.43639687499999996	0.3179253125	0.7521340624999999	0.26549718749999995
RRFS_mem000	APCP_01	090000	32	0.43014125000000003	0.45307250000000004	0.3166878125	0.79118875	0.26055375000000003
RRFS_mem000	APCP_01	100000	32	0.44218875	0.47295937499999996	0.3152971875	0.8475703125	0.2559815625
RRFS_mem000	APCP_01	110000	32	0.4519575	0.49845999999999996	0.31063687500000003	0.911981875	0.24860031249999998
RRFS_mem000	APCP_01	120000	32	0.45422093750000003	0.51256	0.3067340625	0.9432553125	0.2439846875
RRFS_mem000	APCP_01	130000	32	0.4583034375	0.5284284375	0.3031196875	0.981955625	0.24327187500000003
RRFS_mem000	APCP_01	140000	32	0.45630625	0.538575625	0.29824968749999997	0.998508125	0.240776875
RRFS_mem000	APCP_01	150000	32	0.4634646875	0.5440234375	0.29906374999999996	1.0276115625	0.24463625
RRFS_mem000	APCP_01	160000	32	0.4651909375	0.54387625	0.300003125	1.03268	0.24802218750000002
RRFS_mem000	APCP_01	170000	32	0.46527375000000004	0.5413715625	0.3013853125	1.024400625	0.251193125
RRFS_mem000	APCP_01	180000	32	0.4595378125	0.5377203125000001	0.30087062499999995	1.0010596875	0.252314375
RRFS_mem000	APCP_01	190000	32	0.48841468749999994	0.5305503125	0.315875	1.0474346875	0.270705
RRFS_mem000	APCP_01	200000	32	0.48475406249999997	0.5191693749999999	0.3194253125	1.014403125	0.2744246875
RRFS_mem000	APCP_01	210000	32	0.4822678125	0.51009625	0.32264187499999997	0.9906518750000001	0.2776165625
RRFS_mem000	APCP_01	220000	32	0.484479375	0.5092753125	0.3240559375	0.9951546874999999	0.2786740625
RRFS_mem000	APCP_01	230000	32	0.47505062499999995	0.5220784375	0.31514093750000005	1.001271875	0.26940375
