model	fcst_var	fcst_lead	fcst_thresh	interp_pnts	count	fss
NAMnest_mem000	REFC	000000	>=40	9	31	0.0999620322580645
NAMnest_mem000	REFC	010000	>=40	9	31	0.0848991612903226
NAMnest_mem000	REFC	020000	>=40	9	31	0.07917283870967741
NAMnest_mem000	REFC	030000	>=40	9	31	0.07039983354838711
NAMnest_mem000	REFC	040000	>=40	9	31	0.08355064612903226
NAMnest_mem000	REFC	050000	>=40	9	31	0.07993057741935486
NAMnest_mem000	REFC	060000	>=40	9	31	0.07197278677419355
NAMnest_mem000	REFC	070000	>=40	9	31	0.0669145535483871
NAMnest_mem000	REFC	080000	>=40	9	31	0.06270554838709677
NAMnest_mem000	REFC	090000	>=40	9	31	0.060699035483870956
NAMnest_mem000	REFC	100000	>=40	9	31	0.05978159161290324
NAMnest_mem000	REFC	110000	>=40	9	31	0.06700740058064517
NAMnest_mem000	REFC	120000	>=40	9	31	0.07937785303225807
NAMnest_mem000	REFC	130000	>=40	9	31	0.055818794193548384
NAMnest_mem000	REFC	140000	>=40	9	31	0.06752607629032258
NAMnest_mem000	REFC	150000	>=40	9	31	0.05649877096774194
NAMnest_mem000	REFC	160000	>=40	9	31	0.05262243741935484
NAMnest_mem000	REFC	170000	>=40	9	31	0.05262526064516129
NAMnest_mem000	REFC	180000	>=40	9	31	0.04253071064516129
NAMnest_mem000	REFC	190000	>=40	9	31	0.04330088193548386
NAMnest_mem000	REFC	200000	>=40	9	31	0.04337873225806452
NAMnest_mem000	REFC	210000	>=40	9	31	0.04150389354838709
NAMnest_mem000	REFC	220000	>=40	9	31	0.039631
NAMnest_mem000	REFC	230000	>=40	9	31	0.04860033548387097
NAMnest_mem000	REFC	240000	>=40	9	31	0.04774368064516129
NAMnest_mem000	REFC	250000	>=40	9	31	0.040733629032258065
NAMnest_mem000	REFC	260000	>=40	9	31	0.04041774774193549
NAMnest_mem000	REFC	270000	>=40	9	31	0.04155657967741936
NAMnest_mem000	REFC	280000	>=40	9	31	0.05107252870967742
NAMnest_mem000	REFC	290000	>=40	9	31	0.0520099741935484
NAMnest_mem000	REFC	300000	>=40	9	31	0.05126965483870969
NAMnest_mem000	REFC	310000	>=40	9	31	0.04510339316129032
NAMnest_mem000	REFC	320000	>=40	9	31	0.0369040719032258
NAMnest_mem000	REFC	330000	>=40	9	31	0.0390806129032258
NAMnest_mem000	REFC	340000	>=40	9	31	0.03815721067741935
NAMnest_mem000	REFC	350000	>=40	9	31	0.028738071290322582
NAMnest_mem000	REFC	360000	>=40	9	31	0.03215794083870968
NAMnest_mem000	REFC	370000	>=40	9	31	0.035366949935483866
NAMnest_mem000	REFC	380000	>=40	9	31	0.03319584329032258
NAMnest_mem000	REFC	390000	>=40	9	31	0.030866217741935483
NAMnest_mem000	REFC	400000	>=40	9	31	0.024858729258064517
NAMnest_mem000	REFC	410000	>=40	9	31	0.018575187419354836
NAMnest_mem000	REFC	420000	>=40	9	31	0.018314865096774192
NAMnest_mem000	REFC	430000	>=40	9	31	0.024772832258064516
NAMnest_mem000	REFC	440000	>=40	9	31	0.02269880096774193
NAMnest_mem000	REFC	450000	>=40	9	31	0.024994825161290323
NAMnest_mem000	REFC	460000	>=40	9	31	0.024837703225806456
NAMnest_mem000	REFC	470000	>=40	9	31	0.026163274193548382
NAMnest_mem000	REFC	480000	>=40	9	31	0.03214191612903226
NAMnest_mem000	REFC	490000	>=40	9	31	0.033275048387096766
NAMnest_mem000	REFC	500000	>=40	9	31	0.03127464193548387
NAMnest_mem000	REFC	510000	>=40	9	31	0.032650653870967744
NAMnest_mem000	REFC	520000	>=40	9	31	0.033808816129032256
NAMnest_mem000	REFC	530000	>=40	9	31	0.031691684838709676
NAMnest_mem000	REFC	540000	>=40	9	31	0.03141219612903227
NAMnest_mem000	REFC	550000	>=40	9	31	0.029144401612903232
NAMnest_mem000	REFC	560000	>=40	9	31	0.026616553935483872
NAMnest_mem000	REFC	570000	>=40	9	31	0.03150108390322581
NAMnest_mem000	REFC	580000	>=40	9	31	0.030817669677419352
NAMnest_mem000	REFC	590000	>=40	9	31	0.02679852225806452
NAMnest_mem000	REFC	600000	>=40	9	31	0.02711002967741936
