model	fcst_var	fcst_lead	fcst_thresh	interp_pnts	count	fss
NAMnest_mem000	REFC	000000	>=30	81	31	0.3756045161290323
NAMnest_mem000	REFC	010000	>=30	81	31	0.3581883870967742
NAMnest_mem000	REFC	020000	>=30	81	31	0.32040096774193555
NAMnest_mem000	REFC	030000	>=30	81	31	0.2979432258064516
NAMnest_mem000	REFC	040000	>=30	81	31	0.2828967419354839
NAMnest_mem000	REFC	050000	>=30	81	31	0.2687044193548387
NAMnest_mem000	REFC	060000	>=30	81	31	0.2769930967741936
NAMnest_mem000	REFC	070000	>=30	81	31	0.2708711290322581
NAMnest_mem000	REFC	080000	>=30	81	31	0.26038019354838715
NAMnest_mem000	REFC	090000	>=30	81	31	0.2582006451612903
NAMnest_mem000	REFC	100000	>=30	81	31	0.2608748064516129
NAMnest_mem000	REFC	110000	>=30	81	31	0.26450012903225806
NAMnest_mem000	REFC	120000	>=30	81	31	0.26390875806451614
NAMnest_mem000	REFC	130000	>=30	81	31	0.24999351612903226
NAMnest_mem000	REFC	140000	>=30	81	31	0.24630076129032258
NAMnest_mem000	REFC	150000	>=30	81	31	0.23583928064516127
NAMnest_mem000	REFC	160000	>=30	81	31	0.23438264516129032
NAMnest_mem000	REFC	170000	>=30	81	31	0.22775029032258062
NAMnest_mem000	REFC	180000	>=30	81	31	0.22621532258064517
NAMnest_mem000	REFC	190000	>=30	81	31	0.21980935483870975
NAMnest_mem000	REFC	200000	>=30	81	31	0.2103431290322581
NAMnest_mem000	REFC	210000	>=30	81	31	0.20158912903225806
NAMnest_mem000	REFC	220000	>=30	81	31	0.19660435483870964
NAMnest_mem000	REFC	230000	>=30	81	31	0.19124032258064516
NAMnest_mem000	REFC	240000	>=30	81	31	0.18661432258064514
NAMnest_mem000	REFC	250000	>=30	81	31	0.18480096774193547
NAMnest_mem000	REFC	260000	>=30	81	31	0.18224667741935485
NAMnest_mem000	REFC	270000	>=30	81	31	0.18047593548387098
NAMnest_mem000	REFC	280000	>=30	81	31	0.18096161290322585
NAMnest_mem000	REFC	290000	>=30	81	31	0.17969332258064516
NAMnest_mem000	REFC	300000	>=30	81	31	0.17387948387096774
NAMnest_mem000	REFC	310000	>=30	81	31	0.17303729032258067
NAMnest_mem000	REFC	320000	>=30	81	31	0.16351083870967742
NAMnest_mem000	REFC	330000	>=30	81	31	0.1585201612903226
NAMnest_mem000	REFC	340000	>=30	81	31	0.15220333225806454
NAMnest_mem000	REFC	350000	>=30	81	31	0.13752381290322577
NAMnest_mem000	REFC	360000	>=30	81	31	0.1353347096774194
NAMnest_mem000	REFC	370000	>=30	81	31	0.13800887096774192
NAMnest_mem000	REFC	380000	>=30	81	31	0.1369471580645161
NAMnest_mem000	REFC	390000	>=30	81	31	0.13131009677419356
NAMnest_mem000	REFC	400000	>=30	81	31	0.12811769032258066
NAMnest_mem000	REFC	410000	>=30	81	31	0.12317539999999999
NAMnest_mem000	REFC	420000	>=30	81	31	0.12430832258064518
NAMnest_mem000	REFC	430000	>=30	81	31	0.13278903225806452
NAMnest_mem000	REFC	440000	>=30	81	31	0.13439425806451613
NAMnest_mem000	REFC	450000	>=30	81	31	0.1365778387096774
NAMnest_mem000	REFC	460000	>=30	81	31	0.129559
NAMnest_mem000	REFC	470000	>=30	81	31	0.12679729032258064
NAMnest_mem000	REFC	480000	>=30	81	31	0.12929487096774192
NAMnest_mem000	REFC	490000	>=30	81	31	0.13091574193548386
NAMnest_mem000	REFC	500000	>=30	81	31	0.13155961290322582
NAMnest_mem000	REFC	510000	>=30	81	31	0.1393245806451613
NAMnest_mem000	REFC	520000	>=30	81	31	0.1328669677419355
NAMnest_mem000	REFC	530000	>=30	81	31	0.13222596774193549
NAMnest_mem000	REFC	540000	>=30	81	31	0.14147951612903226
NAMnest_mem000	REFC	550000	>=30	81	31	0.1406772580645161
NAMnest_mem000	REFC	560000	>=30	81	31	0.13771544193548388
NAMnest_mem000	REFC	570000	>=30	81	31	0.131241535483871
NAMnest_mem000	REFC	580000	>=30	81	31	0.13137899032258066
NAMnest_mem000	REFC	590000	>=30	81	31	0.1292612258064516
NAMnest_mem000	REFC	600000	>=30	81	31	0.12069358064516131
