model	fcst_var	fcst_lead	fcst_thresh	interp_pnts	count	fss
NAMnest_mem000	REFC	000000	>=40	25	31	0.12354399999999999
NAMnest_mem000	REFC	010000	>=40	25	31	0.10244009677419355
NAMnest_mem000	REFC	020000	>=40	25	31	0.09544264516129032
NAMnest_mem000	REFC	030000	>=40	25	31	0.08521876774193549
NAMnest_mem000	REFC	040000	>=40	25	31	0.10022756451612905
NAMnest_mem000	REFC	050000	>=40	25	31	0.09616828709677419
NAMnest_mem000	REFC	060000	>=40	25	31	0.08666563677419353
NAMnest_mem000	REFC	070000	>=40	25	31	0.07978243870967741
NAMnest_mem000	REFC	080000	>=40	25	31	0.07477614970967741
NAMnest_mem000	REFC	090000	>=40	25	31	0.07304230967741937
NAMnest_mem000	REFC	100000	>=40	25	31	0.07254773225806452
NAMnest_mem000	REFC	110000	>=40	25	31	0.08087378096774193
NAMnest_mem000	REFC	120000	>=40	25	31	0.09586451387096774
NAMnest_mem000	REFC	130000	>=40	25	31	0.06817847354838712
NAMnest_mem000	REFC	140000	>=40	25	31	0.0816087535483871
NAMnest_mem000	REFC	150000	>=40	25	31	0.06870235161290322
NAMnest_mem000	REFC	160000	>=40	25	31	0.06492304451612903
NAMnest_mem000	REFC	170000	>=40	25	31	0.06538234387096774
NAMnest_mem000	REFC	180000	>=40	25	31	0.05385213387096773
NAMnest_mem000	REFC	190000	>=40	25	31	0.056652819354838714
NAMnest_mem000	REFC	200000	>=40	25	31	0.056091645161290324
NAMnest_mem000	REFC	210000	>=40	25	31	0.05390826451612904
NAMnest_mem000	REFC	220000	>=40	25	31	0.05105816774193548
NAMnest_mem000	REFC	230000	>=40	25	31	0.061230067741935484
NAMnest_mem000	REFC	240000	>=40	25	31	0.05909554516129033
NAMnest_mem000	REFC	250000	>=40	25	31	0.04975697419354839
NAMnest_mem000	REFC	260000	>=40	25	31	0.04954106096774194
NAMnest_mem000	REFC	270000	>=40	25	31	0.050828798064516144
NAMnest_mem000	REFC	280000	>=40	25	31	0.06073473467741936
NAMnest_mem000	REFC	290000	>=40	25	31	0.06303599548387097
NAMnest_mem000	REFC	300000	>=40	25	31	0.061956232774193556
NAMnest_mem000	REFC	310000	>=40	25	31	0.054789918709677414
NAMnest_mem000	REFC	320000	>=40	25	31	0.04522276741935483
NAMnest_mem000	REFC	330000	>=40	25	31	0.047904652516129034
NAMnest_mem000	REFC	340000	>=40	25	31	0.04627073516129033
NAMnest_mem000	REFC	350000	>=40	25	31	0.03539569303225808
NAMnest_mem000	REFC	360000	>=40	25	31	0.03936131248387096
NAMnest_mem000	REFC	370000	>=40	25	31	0.043322101935483866
NAMnest_mem000	REFC	380000	>=40	25	31	0.04094470919354839
NAMnest_mem000	REFC	390000	>=40	25	31	0.03813826083870968
NAMnest_mem000	REFC	400000	>=40	25	31	0.031074437225806453
NAMnest_mem000	REFC	410000	>=40	25	31	0.024356846451612898
NAMnest_mem000	REFC	420000	>=40	25	31	0.024135027419354835
NAMnest_mem000	REFC	430000	>=40	25	31	0.03246261935483871
NAMnest_mem000	REFC	440000	>=40	25	31	0.029613751612903232
NAMnest_mem000	REFC	450000	>=40	25	31	0.03241378709677419
NAMnest_mem000	REFC	460000	>=40	25	31	0.03203519032258065
NAMnest_mem000	REFC	470000	>=40	25	31	0.03283174193548386
NAMnest_mem000	REFC	480000	>=40	25	31	0.04041975483870969
NAMnest_mem000	REFC	490000	>=40	25	31	0.04122379354838709
NAMnest_mem000	REFC	500000	>=40	25	31	0.038488561290322576
NAMnest_mem000	REFC	510000	>=40	25	31	0.039678319354838704
NAMnest_mem000	REFC	520000	>=40	25	31	0.0411010193548387
NAMnest_mem000	REFC	530000	>=40	25	31	0.03807343548387097
NAMnest_mem000	REFC	540000	>=40	25	31	0.03810658677419355
NAMnest_mem000	REFC	550000	>=40	25	31	0.03490319580645162
NAMnest_mem000	REFC	560000	>=40	25	31	0.031876613870967734
NAMnest_mem000	REFC	570000	>=40	25	31	0.03812048554838709
NAMnest_mem000	REFC	580000	>=40	25	31	0.03754219612903226
NAMnest_mem000	REFC	590000	>=40	25	31	0.032769465612903226
NAMnest_mem000	REFC	600000	>=40	25	31	0.03364058967741936
