model	fcst_var	fcst_lead	fcst_thresh	interp_pnts	count	fss
NAMnest_mem000	REFC	000000	>=20	9	30	0.454116
NAMnest_mem000	REFC	010000	>=20	9	31	0.4251751612903225
NAMnest_mem000	REFC	020000	>=20	9	31	0.40757516129032256
NAMnest_mem000	REFC	030000	>=20	9	31	0.3905990322580646
NAMnest_mem000	REFC	040000	>=20	9	31	0.3779299999999999
NAMnest_mem000	REFC	050000	>=20	9	31	0.365991935483871
NAMnest_mem000	REFC	060000	>=20	9	31	0.3697632258064516
NAMnest_mem000	REFC	070000	>=20	9	31	0.36947161290322583
NAMnest_mem000	REFC	080000	>=20	9	31	0.36890838709677415
NAMnest_mem000	REFC	090000	>=20	9	31	0.3637945161290322
NAMnest_mem000	REFC	100000	>=20	9	31	0.3577106451612903
NAMnest_mem000	REFC	110000	>=20	9	31	0.3488419677419354
NAMnest_mem000	REFC	120000	>=20	9	31	0.34356632258064523
NAMnest_mem000	REFC	130000	>=20	9	31	0.3366289677419355
NAMnest_mem000	REFC	140000	>=20	9	31	0.33099012903225805
NAMnest_mem000	REFC	150000	>=20	9	31	0.3231490967741935
NAMnest_mem000	REFC	160000	>=20	9	31	0.3177714516129032
NAMnest_mem000	REFC	170000	>=20	9	31	0.3067135806451613
NAMnest_mem000	REFC	180000	>=20	9	31	0.2935479032258065
NAMnest_mem000	REFC	190000	>=20	9	31	0.28507129032258066
NAMnest_mem000	REFC	200000	>=20	9	31	0.28001032258064507
NAMnest_mem000	REFC	210000	>=20	9	31	0.27941548387096776
NAMnest_mem000	REFC	220000	>=20	9	31	0.27456677419354836
NAMnest_mem000	REFC	230000	>=20	9	31	0.27155612903225806
NAMnest_mem000	REFC	240000	>=20	9	31	0.27141709677419357
NAMnest_mem000	REFC	250000	>=20	9	31	0.2747122580645162
NAMnest_mem000	REFC	260000	>=20	9	31	0.2765441935483871
NAMnest_mem000	REFC	270000	>=20	9	31	0.27894451612903226
NAMnest_mem000	REFC	280000	>=20	9	31	0.27845580645161294
NAMnest_mem000	REFC	290000	>=20	9	31	0.2805848387096774
NAMnest_mem000	REFC	300000	>=20	9	31	0.2835962580645162
NAMnest_mem000	REFC	310000	>=20	9	31	0.27460845161290315
NAMnest_mem000	REFC	320000	>=20	9	31	0.2633123870967741
NAMnest_mem000	REFC	330000	>=20	9	31	0.25657032258064516
NAMnest_mem000	REFC	340000	>=20	9	31	0.2491934838709677
NAMnest_mem000	REFC	350000	>=20	9	31	0.23866929032258064
NAMnest_mem000	REFC	360000	>=20	9	31	0.24018987096774197
NAMnest_mem000	REFC	370000	>=20	9	31	0.23964370967741933
NAMnest_mem000	REFC	380000	>=20	9	31	0.23627503225806457
NAMnest_mem000	REFC	390000	>=20	9	31	0.2333082903225806
NAMnest_mem000	REFC	400000	>=20	9	31	0.22642606451612907
NAMnest_mem000	REFC	410000	>=20	9	31	0.21850751612903227
NAMnest_mem000	REFC	420000	>=20	9	31	0.21539183870967743
NAMnest_mem000	REFC	430000	>=20	9	31	0.21678545161290325
NAMnest_mem000	REFC	440000	>=20	9	31	0.2176870967741936
NAMnest_mem000	REFC	450000	>=20	9	31	0.22307096774193552
NAMnest_mem000	REFC	460000	>=20	9	31	0.21720567741935481
NAMnest_mem000	REFC	470000	>=20	9	31	0.22025067741935486
NAMnest_mem000	REFC	480000	>=20	9	31	0.22361406451612906
NAMnest_mem000	REFC	490000	>=20	9	31	0.21983603225806453
NAMnest_mem000	REFC	500000	>=20	9	31	0.22473548387096778
NAMnest_mem000	REFC	510000	>=20	9	31	0.22506548387096773
NAMnest_mem000	REFC	520000	>=20	9	31	0.22479419354838706
NAMnest_mem000	REFC	530000	>=20	9	31	0.22700490322580646
NAMnest_mem000	REFC	540000	>=20	9	31	0.23070080645161287
NAMnest_mem000	REFC	550000	>=20	9	31	0.22564287096774194
NAMnest_mem000	REFC	560000	>=20	9	31	0.22260887096774193
NAMnest_mem000	REFC	570000	>=20	9	31	0.22090748387096776
NAMnest_mem000	REFC	580000	>=20	9	31	0.21527087096774197
NAMnest_mem000	REFC	590000	>=20	9	31	0.20795064516129033
NAMnest_mem000	REFC	600000	>=20	9	31	0.20372825806451614
