model	fcst_var	fcst_lead	fcst_thresh	interp_pnts	count	fss
NAMnest_mem000	REFC	000000	>=50	729	31	0.243017870967742
NAMnest_mem000	REFC	010000	>=50	729	31	0.21202806451612907
NAMnest_mem000	REFC	020000	>=50	729	31	0.15214154129032256
NAMnest_mem000	REFC	030000	>=50	729	31	0.11909032258064516
NAMnest_mem000	REFC	040000	>=50	729	31	0.12432993548387097
NAMnest_mem000	REFC	050000	>=50	729	31	0.11483731919354838
NAMnest_mem000	REFC	060000	>=50	729	31	0.1074637709677419
NAMnest_mem000	REFC	070000	>=50	729	31	0.0863795206451613
NAMnest_mem000	REFC	080000	>=50	729	31	0.08167222612903226
NAMnest_mem000	REFC	090000	>=50	729	31	0.07886726331290322
NAMnest_mem000	REFC	100000	>=50	729	31	0.09474754167741935
NAMnest_mem000	REFC	110000	>=50	729	31	0.10223454889677418
NAMnest_mem000	REFC	120000	>=50	729	31	0.10081264838709678
NAMnest_mem000	REFC	130000	>=50	729	31	0.12290715183870968
NAMnest_mem000	REFC	140000	>=50	729	31	0.12309977387096775
NAMnest_mem000	REFC	150000	>=50	729	31	0.08741625487096776
NAMnest_mem000	REFC	160000	>=50	729	31	0.08229479709677417
NAMnest_mem000	REFC	170000	>=50	729	31	0.08931759319354837
NAMnest_mem000	REFC	180000	>=50	729	31	0.09274402806451615
NAMnest_mem000	REFC	190000	>=50	729	31	0.10944589032258065
NAMnest_mem000	REFC	200000	>=50	729	31	0.11481124838709673
NAMnest_mem000	REFC	210000	>=50	729	31	0.11842549032258064
NAMnest_mem000	REFC	220000	>=50	729	31	0.10508200645161288
NAMnest_mem000	REFC	230000	>=50	729	31	0.11159589032258062
NAMnest_mem000	REFC	240000	>=50	729	31	0.09896564193548386
NAMnest_mem000	REFC	250000	>=50	729	31	0.10569450967741935
NAMnest_mem000	REFC	260000	>=50	729	31	0.08857582258064517
NAMnest_mem000	REFC	270000	>=50	729	31	0.07582745161290323
NAMnest_mem000	REFC	280000	>=50	729	31	0.0801504147032258
NAMnest_mem000	REFC	290000	>=50	729	31	0.08603770161290322
NAMnest_mem000	REFC	300000	>=50	729	31	0.07343266566451614
NAMnest_mem000	REFC	310000	>=50	729	31	0.06161032303225806
NAMnest_mem000	REFC	320000	>=50	729	31	0.054779441593225814
NAMnest_mem000	REFC	330000	>=50	729	31	0.04733900125806451
NAMnest_mem000	REFC	340000	>=50	729	31	0.050422138387096783
NAMnest_mem000	REFC	350000	>=50	729	31	0.06521876984838709
NAMnest_mem000	REFC	360000	>=50	729	31	0.08703207772258065
NAMnest_mem000	REFC	370000	>=50	729	31	0.0683880664516129
NAMnest_mem000	REFC	380000	>=50	729	31	0.04565430193548387
NAMnest_mem000	REFC	390000	>=50	729	31	0.028683552306451608
NAMnest_mem000	REFC	400000	>=50	729	31	0.027029553967741933
NAMnest_mem000	REFC	410000	>=50	729	31	0.03522632960967743
NAMnest_mem000	REFC	420000	>=50	729	31	0.041473027419354845
NAMnest_mem000	REFC	430000	>=50	729	31	0.06696639612903224
NAMnest_mem000	REFC	440000	>=50	729	31	0.05806050774193548
NAMnest_mem000	REFC	450000	>=50	729	31	0.06202436129032258
NAMnest_mem000	REFC	460000	>=50	729	31	0.07444387322580645
NAMnest_mem000	REFC	470000	>=50	729	31	0.08321023870967743
NAMnest_mem000	REFC	480000	>=50	729	31	0.06979110967741935
NAMnest_mem000	REFC	490000	>=50	729	31	0.07058375806451612
NAMnest_mem000	REFC	500000	>=50	729	31	0.06144113516129031
NAMnest_mem000	REFC	510000	>=50	729	31	0.05872246677419355
NAMnest_mem000	REFC	520000	>=50	729	31	0.06161461580645161
NAMnest_mem000	REFC	530000	>=50	729	31	0.05442398809677419
NAMnest_mem000	REFC	540000	>=50	729	31	0.053779780867741926
NAMnest_mem000	REFC	550000	>=50	729	31	0.047952028387096765
NAMnest_mem000	REFC	560000	>=50	729	31	0.041661176774193544
NAMnest_mem000	REFC	570000	>=50	729	31	0.04545584541935484
NAMnest_mem000	REFC	580000	>=50	729	31	0.043282124399354846
NAMnest_mem000	REFC	590000	>=50	729	31	0.03200415425483871
NAMnest_mem000	REFC	600000	>=50	729	31	0.03620434216129032
