model	fcst_var	fcst_lead	fcst_thresh	interp_pnts	count	fss
NAMnest_mem000	REFC	000000	>=30	361	31	0.49348
NAMnest_mem000	REFC	010000	>=30	361	31	0.4728958064516129
NAMnest_mem000	REFC	020000	>=30	361	31	0.4241322580645161
NAMnest_mem000	REFC	030000	>=30	361	31	0.3950264516129033
NAMnest_mem000	REFC	040000	>=30	361	31	0.3697777419354839
NAMnest_mem000	REFC	050000	>=30	361	31	0.35016700000000006
NAMnest_mem000	REFC	060000	>=30	361	31	0.3562488387096774
NAMnest_mem000	REFC	070000	>=30	361	31	0.34946787096774184
NAMnest_mem000	REFC	080000	>=30	361	31	0.3358782903225806
NAMnest_mem000	REFC	090000	>=30	361	31	0.3330954838709678
NAMnest_mem000	REFC	100000	>=30	361	31	0.3352612903225807
NAMnest_mem000	REFC	110000	>=30	361	31	0.3371043870967742
NAMnest_mem000	REFC	120000	>=30	361	31	0.3358387419354839
NAMnest_mem000	REFC	130000	>=30	361	31	0.3203269677419355
NAMnest_mem000	REFC	140000	>=30	361	31	0.3168095161290322
NAMnest_mem000	REFC	150000	>=30	361	31	0.3048928677419355
NAMnest_mem000	REFC	160000	>=30	361	31	0.30236558064516134
NAMnest_mem000	REFC	170000	>=30	361	31	0.29644135483870965
NAMnest_mem000	REFC	180000	>=30	361	31	0.300606
NAMnest_mem000	REFC	190000	>=30	361	31	0.29846416129032255
NAMnest_mem000	REFC	200000	>=30	361	31	0.28834029032258063
NAMnest_mem000	REFC	210000	>=30	361	31	0.2825621935483871
NAMnest_mem000	REFC	220000	>=30	361	31	0.2818319354838709
NAMnest_mem000	REFC	230000	>=30	361	31	0.27029387096774193
NAMnest_mem000	REFC	240000	>=30	361	31	0.2614122580645161
NAMnest_mem000	REFC	250000	>=30	361	31	0.256334064516129
NAMnest_mem000	REFC	260000	>=30	361	31	0.2507098709677419
NAMnest_mem000	REFC	270000	>=30	361	31	0.2454420967741936
NAMnest_mem000	REFC	280000	>=30	361	31	0.2415677741935484
NAMnest_mem000	REFC	290000	>=30	361	31	0.23700732258064516
NAMnest_mem000	REFC	300000	>=30	361	31	0.22740170967741938
NAMnest_mem000	REFC	310000	>=30	361	31	0.22216841935483872
NAMnest_mem000	REFC	320000	>=30	361	31	0.21189903225806453
NAMnest_mem000	REFC	330000	>=30	361	31	0.2058753548387097
NAMnest_mem000	REFC	340000	>=30	361	31	0.195966
NAMnest_mem000	REFC	350000	>=30	361	31	0.17883854838709679
NAMnest_mem000	REFC	360000	>=30	361	31	0.17460696774193551
NAMnest_mem000	REFC	370000	>=30	361	31	0.1795453870967742
NAMnest_mem000	REFC	380000	>=30	361	31	0.17917687096774196
NAMnest_mem000	REFC	390000	>=30	361	31	0.17365158064516126
NAMnest_mem000	REFC	400000	>=30	361	31	0.1688931193548387
NAMnest_mem000	REFC	410000	>=30	361	31	0.1633914193548387
NAMnest_mem000	REFC	420000	>=30	361	31	0.1678320967741936
NAMnest_mem000	REFC	430000	>=30	361	31	0.18144170967741938
NAMnest_mem000	REFC	440000	>=30	361	31	0.18663861290322584
NAMnest_mem000	REFC	450000	>=30	361	31	0.19312867741935485
NAMnest_mem000	REFC	460000	>=30	361	31	0.1873116774193548
NAMnest_mem000	REFC	470000	>=30	361	31	0.18061032258064516
NAMnest_mem000	REFC	480000	>=30	361	31	0.1830777419354839
NAMnest_mem000	REFC	490000	>=30	361	31	0.1827352580645161
NAMnest_mem000	REFC	500000	>=30	361	31	0.18168206451612903
NAMnest_mem000	REFC	510000	>=30	361	31	0.18893025806451616
NAMnest_mem000	REFC	520000	>=30	361	31	0.1772123870967742
NAMnest_mem000	REFC	530000	>=30	361	31	0.17422100000000007
NAMnest_mem000	REFC	540000	>=30	361	31	0.18413280645161292
NAMnest_mem000	REFC	550000	>=30	361	31	0.18221709677419357
NAMnest_mem000	REFC	560000	>=30	361	31	0.1799844516129032
NAMnest_mem000	REFC	570000	>=30	361	31	0.1716869677419355
NAMnest_mem000	REFC	580000	>=30	361	31	0.16808677419354837
NAMnest_mem000	REFC	590000	>=30	361	31	0.16513367741935486
NAMnest_mem000	REFC	600000	>=30	361	31	0.15550487096774193
