date	fcst_lead	member	rmse	bias
2022-05-01 00:00:00	0	ens_0	0.9952799082288392	-0.08293929174232198
2022-05-01 00:00:00	0	ens_1	1.1878536589671238	-0.20850968678798665
2022-05-01 00:00:00	0	ens_2	1.1830115024594043	0.015064878046882758
2022-05-01 00:00:00	0	ens_3	1.1827705297620514	-0.11314594199336026
2022-05-01 00:00:00	0	ens_4	1.1511681537163176	0.03913545289583416
2022-05-01 00:00:00	0	ens_5	1.1324883508532715	-0.049556992895533614
2022-05-01 00:00:00	0	ens_6	1.1503190397208456	-0.0031976800460495566
2022-05-01 00:00:00	0	ens_7	1.2086305298926359	-0.17202403124716306
2022-05-01 00:00:00	0	ens_8	1.176834700843391	-0.050375880201421516
2022-05-01 00:00:00	0	ens_9	1.1520417662386435	-0.10085730007092007
2022-05-01 00:00:00	1	ens_0	1.165255942942186	-0.24457635008639772
2022-05-01 00:00:00	1	ens_1	1.292460511656325	-0.4186060231189244
2022-05-01 00:00:00	1	ens_2	1.2607083012829832	-0.2152253507369837
2022-05-01 00:00:00	1	ens_3	1.298524110303157	-0.33989760091335586
2022-05-01 00:00:00	1	ens_4	1.202187800587185	-0.1961923218339485
2022-05-01 00:00:00	1	ens_5	1.2433475932889333	-0.2697069751155645
2022-05-01 00:00:00	1	ens_6	1.217365104858069	-0.21554074080031296
2022-05-01 00:00:00	1	ens_7	1.3630663474907576	-0.4031051062594155
2022-05-01 00:00:00	1	ens_8	1.2671117557810765	-0.2662816607343211
2022-05-01 00:00:00	1	ens_9	1.2821063061703994	-0.323989951175649
2022-05-01 00:00:00	2	ens_0	1.0667027244222351	-0.19779075623391196
2022-05-01 00:00:00	2	ens_1	1.143456980154913	-0.33930075384568537
2022-05-01 00:00:00	2	ens_2	1.158768903473869	-0.18205501079144482
2022-05-01 00:00:00	2	ens_3	1.1693904205747936	-0.2839533560521871
2022-05-01 00:00:00	2	ens_4	1.1342388575033335	-0.17883307314338162
2022-05-01 00:00:00	2	ens_5	1.1387777574525413	-0.22067830094453833
2022-05-01 00:00:00	2	ens_6	1.119203140661619	-0.16417152881157743
2022-05-01 00:00:00	2	ens_7	1.2273258450205622	-0.35134332604837126
2022-05-01 00:00:00	2	ens_8	1.195783832163278	-0.23294776156212843
2022-05-01 00:00:00	2	ens_9	1.1730639497991966	-0.2751951585320997
2022-05-01 00:00:00	3	ens_0	1.0894278946662193	-0.24753071772641794
2022-05-01 00:00:00	3	ens_1	1.140998206781361	-0.3717314440767955
2022-05-01 00:00:00	3	ens_2	1.1359196335716264	-0.22982786256002435
2022-05-01 00:00:00	3	ens_3	1.162952397395553	-0.3324972825503066
2022-05-01 00:00:00	3	ens_4	1.1846008153832093	-0.24597723105244898
2022-05-01 00:00:00	3	ens_5	1.1593532095251464	-0.2654880425829182
2022-05-01 00:00:00	3	ens_6	1.1459536367955463	-0.2171087701960365
2022-05-01 00:00:00	3	ens_7	1.2403991561943688	-0.38397949300525014
2022-05-01 00:00:00	3	ens_8	1.2103983044573154	-0.28621532629054436
2022-05-01 00:00:00	3	ens_9	1.1888231670534928	-0.3253028932363865
2022-05-01 00:00:00	4	ens_0	1.1532892418894596	-0.26213346527787196
2022-05-01 00:00:00	4	ens_1	1.1898204625209834	-0.3780093063043157
2022-05-01 00:00:00	4	ens_2	1.182180700983623	-0.2394706266369103
2022-05-01 00:00:00	4	ens_3	1.2196802640664124	-0.3492353794279792
2022-05-01 00:00:00	4	ens_4	1.2507522765557528	-0.26585441194904036
2022-05-01 00:00:00	4	ens_5	1.2168628584030583	-0.2799935179286667
2022-05-01 00:00:00	4	ens_6	1.2056934591071469	-0.2397367492270661
2022-05-01 00:00:00	4	ens_7	1.278320259599528	-0.38626601735906047
2022-05-01 00:00:00	4	ens_8	1.2615017607647607	-0.3019856010938635
2022-05-01 00:00:00	4	ens_9	1.2332421173582016	-0.34605672496048506
2022-05-01 00:00:00	5	ens_0	1.19473825688827	-0.25683874533217993
2022-05-01 00:00:00	5	ens_1	1.213205563922494	-0.36153436993585797
2022-05-01 00:00:00	5	ens_2	1.2073798274292697	-0.2301093739848631
2022-05-01 00:00:00	5	ens_3	1.2494698941213604	-0.3404837422714069
2022-05-01 00:00:00	5	ens_4	1.2833861339288049	-0.2658584262431105
2022-05-01 00:00:00	5	ens_5	1.2558864025279557	-0.2726452111132812
2022-05-01 00:00:00	5	ens_6	1.240093542477068	-0.23386370495150158
2022-05-01 00:00:00	5	ens_7	1.2974375205598339	-0.3743699981630527
2022-05-01 00:00:00	5	ens_8	1.2808536108074198	-0.29837900068029855
2022-05-01 00:00:00	5	ens_9	1.2544140811337372	-0.34303563816667576
2022-05-01 00:00:00	6	ens_0	1.2479172188315784	-0.2850512573307541
2022-05-01 00:00:00	6	ens_1	1.2662877287279275	-0.37563856212065855
2022-05-01 00:00:00	6	ens_2	1.252396011083973	-0.2508145840484244
2022-05-01 00:00:00	6	ens_3	1.2910670479540884	-0.36192852031296313
2022-05-01 00:00:00	6	ens_4	1.3236404668796382	-0.3064062260779232
2022-05-01 00:00:00	6	ens_5	1.3017895038379432	-0.29310356910690866
2022-05-01 00:00:00	6	ens_6	1.2886562217918132	-0.25328405180324415
2022-05-01 00:00:00	6	ens_7	1.3463907743632668	-0.3909181836827786
2022-05-01 00:00:00	6	ens_8	1.3203081845098612	-0.32310157891785424
2022-05-01 00:00:00	6	ens_9	1.300241652178104	-0.3583831563554242
2022-05-01 00:00:00	7	ens_0	1.2737863618582421	-0.28599514536062787
2022-05-01 00:00:00	7	ens_1	1.2991743489885517	-0.3730603919930905
2022-05-01 00:00:00	7	ens_2	1.2762515844545734	-0.24879980899122692
2022-05-01 00:00:00	7	ens_3	1.3152240358144252	-0.3606118898505493
2022-05-01 00:00:00	7	ens_4	1.3498523131143962	-0.3112568003194926
2022-05-01 00:00:00	7	ens_5	1.334811861482614	-0.287095692456736
2022-05-01 00:00:00	7	ens_6	1.326678892888115	-0.2515780099701249
2022-05-01 00:00:00	7	ens_7	1.3716231853043135	-0.386075864683579
2022-05-01 00:00:00	7	ens_8	1.3417211462753327	-0.325547792037561
2022-05-01 00:00:00	7	ens_9	1.3204963451595524	-0.35486908266830003
2022-05-01 00:00:00	8	ens_0	1.2918353619254883	-0.27596412169451895
2022-05-01 00:00:00	8	ens_1	1.3183411422029405	-0.36397471499046413
2022-05-01 00:00:00	8	ens_2	1.3007414298677908	-0.2381976765564823
2022-05-01 00:00:00	8	ens_3	1.3301118953530755	-0.3503590561829855
2022-05-01 00:00:00	8	ens_4	1.3626724607624512	-0.2980551447065944
