model	fcst_var	fcst_lead	count	fbias
RRFS_GDAS_GF.SPP.SPPT_mem03	APCP_03	270000	6	1.241585
RRFS_GDAS_GF.SPP.SPPT_mem03	APCP_03	300000	6	1.299405
RRFS_GDAS_GF.SPP.SPPT_mem03	APCP_03	330000	6	1.3478266666666665
RRFS_GDAS_GF.SPP.SPPT_mem03	APCP_03	360000	6	1.3661933333333334
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	030000	6	1.4849283333333334
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	060000	6	1.3205183333333335
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	090000	6	1.2829400000000002
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	120000	6	1.352555
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	150000	6	1.3174483333333333
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	180000	6	1.1527366666666665
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	210000	6	1.1107833333333332
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	240000	6	1.1447150000000001
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	270000	6	1.2150083333333332
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	300000	6	1.28052
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	330000	6	1.3322999999999998
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	360000	6	1.3574283333333332
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	030000	6	1.47197
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	060000	6	1.283665
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	090000	6	1.28376
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	120000	6	1.351285
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	150000	6	1.2918233333333335
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	180000	6	1.159775
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	210000	6	1.1034666666666666
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	240000	6	1.1302133333333333
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	270000	6	1.1820316666666668
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	300000	6	1.2240849999999999
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	330000	6	1.28419
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	360000	6	1.3773083333333334
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	030000	6	1.4869283333333332
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	060000	6	1.2898416666666666
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	090000	6	1.2457583333333333
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	120000	6	1.3089466666666667
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	150000	6	1.2833316666666665
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	180000	6	1.1409266666666666
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	210000	6	1.1253849999999999
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	240000	6	1.1347399999999999
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	270000	6	1.1777833333333332
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	300000	6	1.2248366666666668
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	330000	6	1.2941550000000002
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	360000	6	1.37707
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	030000	6	1.4785350000000002
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	060000	6	1.2937
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	090000	6	1.2754233333333334
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	120000	6	1.35002
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	150000	6	1.3082383333333334
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	180000	6	1.126345
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	210000	6	1.1074816666666667
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	240000	6	1.1417783333333331
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	270000	6	1.2183366666666666
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	300000	6	1.3104416666666667
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	330000	6	1.3310899999999999
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	360000	6	1.3748683333333336
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	030000	6	1.4897066666666667
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	060000	6	1.3161233333333333
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	090000	6	1.30354
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	120000	6	1.3513650000000001
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	150000	6	1.3290983333333335
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	180000	6	1.1592116666666665
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	210000	6	1.1359916666666667
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	240000	6	1.1713716666666667
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	270000	6	1.2329583333333334
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	300000	6	1.2638416666666668
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	330000	6	1.30898
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	360000	6	1.39143
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	030000	6	1.4870433333333333
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	060000	6	1.2941833333333335
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	090000	6	1.2782816666666668
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	120000	6	1.3472183333333334
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	150000	6	1.3057566666666667
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	180000	6	1.1497716666666664
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	210000	6	1.1001133333333335
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	240000	6	1.1628033333333334
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	270000	6	1.2209216666666667
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	300000	6	1.3002266666666666
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	330000	6	1.3172749999999998
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	360000	6	1.3720416666666668
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	030000	6	1.4799600000000002
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	060000	6	1.2729816666666667
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	090000	6	1.2704583333333332
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	120000	6	1.3253733333333333
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	150000	6	1.3058583333333333
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	180000	6	1.1373266666666666
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	210000	6	1.1065166666666666
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	240000	6	1.17208
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	270000	6	1.251445
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	300000	6	1.280705
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	330000	6	1.28631
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	360000	6	1.3550283333333333
